6,Samsung  Galaxy S24 Ultra,Best android phone,70000,10
7,Apple watch,"",25000,5
8,Iphone 17,"",100000,15
9,Raspberry Pi,Iot,450,30
2,Pen drives,ITB external storage,1000,60
10,MacBook Air M2,"13-inch Apple laptop with M2 chip, 8GB RAM, 256GB SSD",1099.99,15
13,Gaming Laptop Pro,"RTX graphics, 16GB RAM, 1TB SSD",140000,5
14,Bluetooth Speaker,Portable wireless speaker with deep bass,7999.99,30
15,External Hard Drive 2TB,Portable 2TB USB 3.0 external drive,5000,14
16,Power Bank 20000mAh,Portable battery pack with fast charging,2449.99,35
11,Mechanical RGB Keyboard,Hot-swappable mechanical keyboard with RGB lighting,1339.99,22
12,OnePlus 12,Flagship Android phone with fast charging,49999.99,15
17,Lenovo M10 Tab,string,29000,5
18,Scientific Calculator,"",1200,10
19,C type Charger,"",400,15
20,Smart Watch,Fitness tracking smart watch with heart rate monitor,10000,22
21,WiFi Router,Dual-band high-speed wireless router,2000,18
22,Full HD Webcam,1080p webcam for streaming and video calls,5500,19
23,Portable SSD 512GB,High-speed external solid state drive,1300,12
24,27-inch Monitor,Full HD LED monitor with HDMI support,4500,9
25,Wireless Earbuds,True wireless earbuds with charging case,7500,35
1,Books,1oo pages ruled book,50,98
4,pens,blue ball point,10,199
